department_id,department_name,latitude,longitude,locality,postal_code
2B,Haute-Corse,42.319,9.4059,Piazzali,20234
2B,Haute-Corse,42.394,9.4059,Piazzole,20229
2B,Haute-Corse,42.214,9.3233,Piedicorte-di-Gaggio,20251
2B,Haute-Corse,42.383,9.3681,Piedicroce,20229
2B,Haute-Corse,42.446,9.1807,Piedigriggio,20218
2B,Haute-Corse,42.357,9.3443,Piedipartino,20229
2B,Haute-Corse,42.374,9.3387,Pie-d'Orezza,20229
2B,Haute-Corse,42.542,9.1832,Pietralba,20218
2B,Haute-Corse,42.844,9.4381,Pietracorbara,20233
2B,Haute-Corse,42.292,9.4442,Pietra-di-Verde,20230
2B,Haute-Corse,42.233,9.3546,Pietraserena,20251
2B,Haute-Corse,42.329,9.3768,Pietricaggio,20234
2B,Haute-Corse,42.125,9.3010,Pietroso,20242
2B,Haute-Corse,42.585,9.2782,Piève,20246
2B,Haute-Corse,42.599,8.9004,Pigna,20220
2B,Haute-Corse,42.905,9.3540,Pino,20228
2B,Haute-Corse,42.340,9.3678,Piobetta,20234
2B,Haute-Corse,42.523,8.9752,Pioggiola,20259
2B,Haute-Corse,42.052,9.2920,Poggio-di-Nazza,20240
2B,Haute-Corse,42.268,9.2070,Poggio-di-Venaco,20250
2B,Haute-Corse,42.657,9.3585,Poggio-d'Oletta,20232
2B,Haute-Corse,42.435,9.3482,Poggio-Marinaccio,20237
2B,Haute-Corse,42.401,9.5119,Poggio-Mezzana,20230
2B,Haute-Corse,42.401,9.3612,Polveroso,20229
2B,Haute-Corse,42.437,9.1350,Popolasca,20218
2B,Haute-Corse,42.449,9.4423,Porri,20215
2B,Haute-Corse,42.424,9.3584,La Porta,20237
2B,Haute-Corse,42.419,9.1692,Prato-di-Giovellina,20218
2B,Haute-Corse,42.510,9.4056,Prunelli-di-Casacconi,20290
2B,Haute-Corse,42.007,9.3677,Prunelli-di-Fiumorbo,20243
2B,Haute-Corse,42.007,9.3677,Prunelli-di-Fiumorbo,20243
2B,Haute-Corse,42.007,9.3677,Prunelli-di-Fiumorbo,20243
2B,Haute-Corse,42.424,9.4475,Pruno,20213
2B,Haute-Corse,42.424,9.4475,Pruno,20213
2B,Haute-Corse,42.427,9.3433,Quercitello,20237
2B,Haute-Corse,42.375,9.3841,Rapaggio,20229
2B,Haute-Corse,42.620,9.2964,Rapale,20246
2B,Haute-Corse,42.247,9.2024,Riventosa,20250
2B,Haute-Corse,42.972,9.4253,Rogliano,20247
2B,Haute-Corse,42.972,9.4253,Rogliano,20248
2B,Haute-Corse,42.193,9.2379,Rospigliani,20242
2B,Haute-Corse,42.353,9.2585,Rusio,20244
2B,Haute-Corse,42.582,9.3816,Rutali,20239
2B,Haute-Corse,42.411,9.2629,Saliceto,20218
2B,Haute-Corse,42.422,9.4048,Scata,20213
2B,Haute-Corse,42.539,9.3645,Scolca,20290
2B,Haute-Corse,42.315,9.2662,Sermano,20212
2B,Haute-Corse,41.971,9.3301,Serra-di-Fiumorbo,20243
2B,Haute-Corse,42.453,9.4178,Silvareccio,20215
2B,Haute-Corse,42.814,9.4422,Sisco,20233
2B,Haute-Corse,41.879,9.3206,Solaro,20240
2B,Haute-Corse,42.482,9.4894,Sorbo-Ocagnano,20213
2B,Haute-Corse,42.482,9.4894,Sorbo-Ocagnano,20213
2B,Haute-Corse,42.577,9.2443,Sorio,20246
2B,Haute-Corse,42.349,9.1456,Soveria,20250
2B,Haute-Corse,42.574,8.9696,Speloncato,20226
2B,Haute-Corse,42.379,9.3752,Stazzona,20229
2B,Haute-Corse,42.276,9.2847,Sant'Andréa-di-Bozio,20212
2B,Haute-Corse,42.315,9.4719,Sant'Andréa-di-Cotone,20221
2B,Haute-Corse,42.584,8.9082,Sant'Antonino,20220
2B,Haute-Corse,42.406,9.4143,San-Damiano,20213
2B,Haute-Corse,42.687,9.2831,Saint-Florent,20217
2B,Haute-Corse,42.417,9.4254,San-Gavino-d'Ampugnani,20213
2B,Haute-Corse,42.653,9.1517,San-Gavino-di-Tenda,20246
2B,Haute-Corse,42.373,9.4654,San-Giovanni-di-Moriani,20230
2B,Haute-Corse,42.288,9.5288,San-Giuliano,20230
2B,Haute-Corse,42.288,9.5288,San-Giuliano,20230
2B,Haute-Corse,42.389,9.2892,San-Lorenzo,20244
2B,Haute-Corse,42.732,9.4316,San-Martino-di-Lota,20200
2B,Haute-Corse,42.732,9.4316,San-Martino-di-Lota,20200
2B,Haute-Corse,42.317,9.2202,Santa-Lucia-di-Mercurio,20250
2B,Haute-Corse,42.384,9.5106,Santa-Lucia-di-Moriani,20230
2B,Haute-Corse,42.751,9.4246,Santa-Maria-di-Lota,20200
2B,Haute-Corse,42.751,9.4246,Santa-Maria-di-Lota,20200
2B,Haute-Corse,42.349,9.5088,Santa-Maria-Poggio,20221
2B,Haute-Corse,42.368,9.5094,San-Nicolao,20230
2B,Haute-Corse,42.368,9.5094,San-Nicolao,20230
2B,Haute-Corse,42.368,9.5094,San-Nicolao,20230
2B,Haute-Corse,42.672,9.2038,Santo-Pietro-di-Tenda,20217
2B,Haute-Corse,42.672,9.2038,Santo-Pietro-di-Tenda,20246
2B,Haute-Corse,42.245,9.1659,Santo-Pietro-di-Venaco,20250
2B,Haute-Corse,42.601,8.9315,Santa-Reparata-di-Balagna,20220
2B,Haute-Corse,42.351,9.4555,Santa-Reparata-di-Moriani,20230
2B,Haute-Corse,42.434,9.4973,Taglio-Isolaccio,20230
2B,Haute-Corse,42.417,9.5073,Talasani,20230
2B,Haute-Corse,42.417,9.5073,Talasani,20230
2B,Haute-Corse,42.184,9.4656,Tallone,20270
2B,Haute-Corse,42.184,9.4656,Tallone,20270
2B,Haute-Corse,42.344,9.4017,Tarrano,20234
2B,Haute-Corse,42.944,9.4463,Tomino,20248
2B,Haute-Corse,42.244,9.4429,Tox,20270
2B,Haute-Corse,42.341,9.1928,Tralonca,20250
