price,id,category,surface,title,zip_code,rent
243900,2367867,Restaurant,32,Vente petit restaurant avec extraction à Paris 5,,
186800,2367870,Restaurant,80,Vente FDC cave à manger à Paris 75017,75017,
250000,2367686,Restaurant,56,Vente commerce de 56m² à Paris 09 Clichy-Trinité,,1885
458727,2367645,Restaurant,100,AV restaurant licence 4 top empl Paris Rive Droite,,3333
490527,2367641,Restaurant,90,AV restaurant top secteur top refection à Paris 8,,3527
352727,2367640,Restaurant,200,Café bar restaurant à vendre à Paris Rive Gauche,,5470
437527,2367637,Restaurant,150,AV restaurant sur un top secteur Paris rive gauche,,5463
755500,2367636,Restaurant,180,Vente restaurant de 65 places à Paris hyper centre,,4845
280000,2367452,Restaurant,68,Vente restaurant 68m² Quai de Valmy 75010 Paris,,
350000,2367450,Restaurant,50,Vente restaurant top emplacement 75003 Archives,,
200000,2367449,Restaurant,80,Vente bar brasserie 80m² Vinaigriers Paris 75010,,1674
400000,2367447,Restaurant,119,Vente restaurant empl N°1 Opéra 75009 Paris,,
360000,2367334,Restaurant,100,Vente restaurant à Paris 75018,,
195000,2367279,Restaurant,99,AV restaurant empl N°1 St Germain des Prés 75006,,9133
120000,2367278,Restaurant,80,Vente commerce 80m² Paris 6 Saint Germain des Pres,,4670
295000,2367266,Restaurant,160,Vente commerce de 160m² à Paris 15 Felix Faure,,1612
100000,2367265,Restaurant,60,Vente restaurant à Paris 11 République Parmentier,,1576
198000,2367275,Restaurant,45,Vente commerce restauration à Paris Friedland,,1845
422760,2367233,Restaurant,124,Cède affaire profitable de 40 places avec terrasse,,
289000,2366972,Restaurant,60,Vente commerce de 60m² à Paris 75009 Lorette,,1800
214015,2366935,Restaurant,53,Vente restaurant top emplacement à Paris 75011,,1200
384527,2366928,Restaurant,150,Restaurant licence 4 à vendre à Paris 75001,,6233
87914,2366927,Restaurant,50,Cède restaurant bien situé quartier animé Paris 10,,3166
1274900,2366933,Restaurant,192,AV restaurant d’angle terrasse Paris Montparnasse,,8020
